AGID,LBK_PORT,PCID,DESCRIPTION,LAT,LONG,INPFC_AREA,OBS_port,NS rank,PORT NAME
C,211,ALB, ALBION                                ,39.2235117,-123.7686251,MONTEREY,,73, ALBION                                
C,471,ALM, ALAMEDA                               ,37.76666667,,MONTEREY,,33, ALAMEDA                               
W,ANA,ANA, ANACORTES                             ,48.5220491,-122.6123942,VANCOUVER,ANACORTES,472, ANACORTES                             
C,213,ARE, POINT ARENA                           ,38.911,,MONTEREY,,72, POINT ARENA                           
O,2,AST, ASTORIA                               ,46.1878841,-123.8312534,COLUMBIA,ASTORIA / WARRENTON,372, ASTORIA                               
C,602,AVL, AVILA                                 ,35.179,-120.7342,CONCEPTION,AVILA,12, AVILA                                 
C,473,BDG, BODEGA BAY                            ,38.33325,-123.0480571,MONTEREY,BODEGA BAY,40, BODEGA BAY                            
O,36,BDN, BANDON                                ,43.1189978,-124.408448,COLUMBIA,BANDON,310, BANDON                                
C,472,BKL, BERKELEY                              ,37.866,,MONTEREY,,36, BERKELEY                              
W,BEL,BLL, BELLINGHAM BAY                        ,48.7456636,-122.4935031,VANCOUVER,BELLINGHAM BAY,505, BELLINGHAM BAY                        
W,BLA,BLN, BLAINE                                ,48.9940007,-122.7596199,VANCOUVER,,506, BLAINE                                
C,487,BOL, BOLINAS                               ,37.909,,MONTEREY,BOLINAS,534, BOLINAS                               
C,223,BRG, FORT BRAGG                            ,39.445723,-123.8052935,MONTEREY,FORT BRAGG,74, FORT BRAGG                            
O,42,BRK, BROOKINGS                             ,42.0476111,-124.2687028,EUREKA,BROOKINGS,303, BROOKINGS                             
O,6,CNB, CANNON BEACH                          ,45.8917738,-123.9615274,COLUMBIA,,370, CANNON BEACH                          
O,34,COS, CHARLESTON                            ,43.3665007,-124.2178903,COLUMBIA,CHARLESTON (COOS BAY),311, CHARLESTON                            
W,C.B,CPL, COPALIS BEACH                         ,47.1125857,-124.1737879,COLUMBIA,,457, COPALIS BEACH                         
C,201,CRS, CRESCENT CITY                         ,41.7442815,-124.1914691,EUREKA,CRESCENT CITY,90, CRESCENT CITY                         
O,70,CRS, CRESCENT CITY                         ,41.7442815,-124.1914691,EUREKA,CRESCENT CITY,91, CRESCENT CITY                         
O,1,CRV, COLUMBIA RIVER                        ,46.1878841,,COLUMBIA,,535, COLUMBIA RIVER                        
C,593,CRZ, SANTA CRUZ                            ,36.96801522,-122.0027447,MONTEREY,SANTA CRUZ,30, SANTA CRUZ                            
C,767,DNA, DANA POINT                            ,33.4597501,-117.6956073,,DANA POINT HARBOR,3, DANA POINT                            
O,22,DPO, DEPOE BAY                             ,44.8081689,-124.0678937,COLUMBIA,DEPOE BAY,362, DEPOE BAY                             
C,200,OHB, EUREKA AREA                           ,40.8037376,-124.1772844,EUREKA,,76, EUREKA AREA                           
C,217,OHB, FIELDS LANDING                        ,40.8037376,-124.1772844,EUREKA,,77, FIELDS LANDING                        
C,220,ERK, EUREKA                                ,40.8037376,-124.1772844,EUREKA,EUREKA,78, EUREKA                                
O,72,ERK, EUREKA CA                             ,40.8037376,-124.1772844,EUREKA,,79, EUREKA
W,EVE,EVR, EVERETT                               ,48.0003732,-122.219581,VANCOUVER,,465, EVERETT                               
O,71,FLN, FIELDS LANDING CA                     ,40.7245711,-124.2150604,EUREKA,,75, FIELDS LANDING CA                     
O,30,FLR, FLORENCE                              ,43.9826214,-124.0998409,COLUMBIA,,338, FLORENCE                              
W,F.H,FRI, FRIDAY HARBOR                         ,48.5342662,-123.0171242,VANCOUVER,FRIDAY HARBOR,504, FRIDAY HARBOR                         
O,40,GLD, GOLD BEACH                            ,42.4212221,-124.4201069,EUREKA,GOLD BEACH,304, GOLD BEACH                            
W,ABE,GRH, ABERDEEN                              ,46.950645,-124.051005,COLUMBIA,,454, ABERDEEN                              
W,HOQ,GRH, HOQUIAM                               ,46.950645,-124.051005,COLUMBIA,,455, HOQUIAM                               
O,5,GSS, GEARHART-SEASIDE                      ,45.9931637,-123.9226385,COLUMBIA,,371, GEARHART-SEASIDE                      
C,605,HNM, PORT HUENEME                          ,34.160278,-119.194444,CONCEPTION,,8, PORT HUENEME                          
W,L.C,LAC, LACONNER                              ,48.3887143,-122.4962752,VANCOUVER,,470, LACONNER                              
W,LAC,LAC, LACONNER                              ,48.3887143,-122.4962752,VANCOUVER,,471, LACONNER                              
W,L.P,LAP, LAPUSH                                ,47.9086834,-124.6366039,VANCOUVER,LAPUSH,464, LAPUSH                                
C,743,LGB, LONG BEACH                            ,33.73583,,CONCEPTION,,373, LONG BEACH                            
O,69,LWC, ILWACO/CHINOOK                        ,46.3089891,-124.0432099,COLUMBIA,ILWACO/CHINOOK,442, ILWACO/CHINOOK                        
W,CHI,LWC, CHINOOK                               ,46.3089891,-124.0432099,COLUMBIA,,443, CHINOOK                               
W,ILW,LWC, ILWACO                                ,46.3089891,-124.0432099,COLUMBIA,,444, ILWACO                                
C,550,MNT, MONTEREY                              ,36.60307431,-121.8909288,MONTEREY,MONTEREY,28, MONTEREY                              
